Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,0.792544,0.792707,0.781195,0.792588,0.792588,0
2021-07-20,0.784357,0.786046,0.782161,0.784560,0.784560,0
2021-07-21,0.788892,0.798301,0.785639,0.788948,0.788948,0
2021-07-22,0.795564,0.798276,0.794136,0.795615,0.795615,0
2021-07-23,0.796020,0.796622,0.793443,0.795925,0.795925,0
2021-07-26,0.795627,0.798091,0.794313,0.795703,0.795703,0
2021-07-27,0.797264,0.797639,0.794010,0.797448,0.797448,0
2021-07-28,0.794256,0.796400,0.793651,0.794205,0.794205,0
2021-07-29,0.798792,0.804246,0.798155,0.798741,0.798741,0
2021-07-30,0.803239,0.804946,0.800903,0.803258,0.803258,0
2021-08-02,0.801841,0.803013,0.799834,0.802137,0.802137,0
2021-08-03,0.800038,0.800769,0.795235,0.799930,0.799930,0
2021-08-04,0.797894,0.799041,0.796071,0.797874,0.797874,0
2021-08-05,0.797181,0.801635,0.797181,0.797130,0.797130,0
2021-08-06,0.799936,0.800320,0.794875,0.799917,0.799917,0
2021-08-09,0.795418,0.797983,0.794489,0.795488,0.795488,0
2021-08-10,0.795210,0.798531,0.794363,0.795305,0.795305,0
2021-08-11,0.798856,0.800519,0.796978,0.798786,0.798786,0
2021-08-12,0.799674,0.800128,0.798199,0.799565,0.799565,0
2021-08-13,0.798799,0.799821,0.797976,0.798722,0.798722,0
2021-08-16,0.799105,0.799105,0.794723,0.798977,0.798977,0
2021-08-17,0.795463,0.795488,0.791565,0.795570,0.795570,0
2021-08-18,0.792004,0.793525,0.791014,0.791985,0.791985,0
2021-08-19,0.789827,0.790014,0.780250,0.789696,0.789696,0
2021-08-20,0.779508,0.780457,0.772344,0.779344,0.779344,0
2021-08-23,0.779995,0.789815,0.779952,0.779666,0.779666,0
2021-08-24,0.790376,0.794950,0.790045,0.790451,0.790451,0
2021-08-25,0.794086,0.794470,0.791133,0.793903,0.793903,0
2021-08-26,0.794319,0.794344,0.790208,0.794363,0.794363,0
2021-08-27,0.788271,0.792902,0.786949,0.788339,0.788339,0
2021-08-30,0.793084,0.795229,0.791590,0.792958,0.792958,0
2021-08-31,0.793103,0.795672,0.790401,0.793091,0.793091,0
2021-09-01,0.792751,0.794957,0.791402,0.792638,0.792638,0
2021-09-02,0.792625,0.796686,0.791271,0.792286,0.792286,0
2021-09-03,0.796648,0.800109,0.796292,0.796698,0.796698,0
2021-09-06,0.798053,0.798461,0.796305,0.798066,0.798066,0
2021-09-07,0.797785,0.798850,0.791008,0.797811,0.797811,0
2021-09-08,0.790720,0.792017,0.783638,0.790739,0.790739,0
2021-09-09,0.787606,0.790801,0.785756,0.787774,0.787774,0
2021-09-10,0.789584,0.794717,0.789123,0.789727,0.789727,0
2021-09-13,0.788787,0.791264,0.787799,0.788675,0.788675,0
2021-09-14,0.790708,0.793525,0.788538,0.790639,0.790639,0
2021-09-15,0.787954,0.791383,0.786955,0.788022,0.788022,0
2021-09-16,0.792192,0.792770,0.787557,0.792512,0.792512,0
2021-09-17,0.788612,0.791390,0.783638,0.788550,0.788550,0
2021-09-20,0.783576,0.783822,0.775675,0.783453,0.783453,0
2021-09-21,0.780884,0.784868,0.778368,0.781103,0.781103,0
2021-09-22,0.780256,0.785978,0.779770,0.779983,0.779983,0
2021-09-23,0.782167,0.791465,0.781549,0.782112,0.782112,0
2021-09-24,0.789883,0.791083,0.785620,0.789765,0.789765,0
2021-09-27,0.790576,0.793021,0.789316,0.790551,0.790551,0
2021-09-28,0.791904,0.794016,0.786986,0.792004,0.792004,0
2021-09-29,0.788955,0.789515,0.783969,0.788830,0.788830,0
2021-09-30,0.783945,0.791640,0.783945,0.784080,0.784080,0
2021-10-01,0.788389,0.790714,0.785139,0.788395,0.788395,0
2021-10-04,0.792142,0.796331,0.790308,0.792079,0.792079,0
2021-10-05,0.794407,0.796819,0.791973,0.794294,0.794294,0
2021-10-06,0.794628,0.794786,0.790701,0.794742,0.794742,0
2021-10-07,0.794578,0.797575,0.793783,0.794521,0.794521,0
2021-10-08,0.796946,0.803045,0.796096,0.797003,0.797003,0
2021-10-11,0.800910,0.803536,0.800910,0.801019,0.801019,0
2021-10-12,0.801282,0.803839,0.800160,0.801256,0.801256,0
2021-10-13,0.801494,0.804311,0.801430,0.801533,0.801533,0
2021-10-14,0.804124,0.809395,0.803994,0.804065,0.804065,0
2021-10-15,0.808211,0.810636,0.807142,0.808107,0.808107,0
2021-10-18,0.808100,0.809690,0.805906,0.808166,0.808166,0
2021-10-19,0.808336,0.812348,0.808257,0.808264,0.808264,0
2021-10-20,0.809540,0.811820,0.808715,0.809454,0.809454,0
2021-10-21,0.811431,0.813749,0.809494,0.811399,0.811399,0
2021-10-22,0.808440,0.811649,0.807376,0.808388,0.808388,0
2021-10-25,0.808440,0.810530,0.807200,0.808322,0.808322,0
2021-10-26,0.808081,0.809717,0.806875,0.807820,0.807820,0
2021-10-27,0.807181,0.812856,0.804428,0.807011,0.807011,0
2021-10-28,0.808473,0.810964,0.807644,0.808427,0.808427,0
2021-10-29,0.810091,0.811168,0.805971,0.809972,0.809972,0
2021-11-01,0.807787,0.809566,0.806244,0.807565,0.807565,0
2021-11-02,0.808211,0.808473,0.805023,0.808153,0.808153,0
2021-11-03,0.805997,0.806192,0.802910,0.805932,0.805932,0
2021-11-04,0.807839,0.807950,0.801950,0.807898,0.807898,0
2021-11-05,0.803142,0.803988,0.801333,0.803148,0.803148,0
2021-11-08,0.803174,0.804182,0.802266,0.803161,0.803161,0
2021-11-09,0.803697,0.804764,0.801064,0.803716,0.803716,0
2021-11-10,0.804246,0.807291,0.802987,0.804117,0.804117,0
2021-11-11,0.800833,0.801179,0.794174,0.800865,0.800865,0
2021-11-12,0.794351,0.797029,0.793474,0.794376,0.794376,0
2021-11-15,0.797092,0.799885,0.796489,0.797111,0.797111,0
2021-11-16,0.799086,0.800448,0.796020,0.799105,0.799105,0
2021-11-17,0.795767,0.797575,0.793399,0.795817,0.795817,0
2021-11-18,0.793053,0.794155,0.790745,0.792946,0.792946,0
2021-11-19,0.793411,0.794660,0.789833,0.793430,0.793430,0
2021-11-22,0.790264,0.791828,0.788090,0.790295,0.790295,0
2021-11-23,0.787309,0.787761,0.784671,0.787321,0.787321,0
2021-11-24,0.788930,0.790326,0.786838,0.788899,0.788899,0
2021-11-25,0.789833,0.791202,0.788849,0.789783,0.789783,0
