Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,58217.968750,58597.445313,56862.875000,56876.839844,56876.839844,37006412725
2022-04-06,56862.308594,56862.308594,54270.007813,54286.070313,54286.070313,49494886696
2022-04-07,54287.023438,55060.132813,53880.050781,54759.906250,54759.906250,32855519322
2022-04-08,54761.523438,55255.242188,53025.656250,53156.863281,53156.863281,34211322691
2022-04-09,53149.843750,53784.312500,53025.617188,53778.425781,53778.425781,20176302551
2022-04-10,53777.113281,54515.781250,52829.945313,53102.820313,53102.820313,22211660673
2022-04-11,53094.476563,53410.566406,49739.789063,49957.343750,49957.343750,42914114874
2022-04-12,49972.273438,51136.242188,49807.445313,50703.261719,50703.261719,39159744785
2022-04-13,50698.699219,52047.707031,50180.906250,51737.113281,51737.113281,34801350317
2022-04-14,51728.929688,52017.171875,50046.808594,50364.757813,50364.757813,30698964473
2022-04-15,50369.660156,51237.386719,50277.656250,51150.082031,51150.082031,27441922161
2022-04-16,51148.636719,51251.261719,50550.917969,50987.402344,50987.402344,21231652969
2022-04-17,50978.941406,51171.859375,49986.828125,50108.894531,50108.894531,24081912228
2022-04-18,50114.253906,51716.332031,48904.054688,51446.500000,51446.500000,42473045905
2022-04-19,51448.968750,52607.281250,51102.425781,52309.859375,52309.859375,31892035016
2022-04-20,52308.589844,52823.050781,51233.074219,51666.296875,51666.296875,34739668831
2022-04-21,51662.722656,53553.664063,50415.320313,51030.031250,51030.031250,44539643990
2022-04-22,51028.140625,51413.984375,50005.910156,50515.312500,50515.312500,35606673564
2022-04-23,50513.281250,50763.871094,50021.960938,50192.964844,50192.964844,20513603641
2022-04-24,50182.343750,50652.539063,49874.070313,50218.675781,50218.675781,22856966079
2022-04-25,50222.894531,51572.726563,48817.097656,51537.332031,51537.332031,45152118538
2022-04-26,51524.738281,51859.480469,48568.968750,48816.691406,48816.691406,44272320412
2022-04-27,48820.328125,50555.800781,48695.453125,50291.109375,50291.109375,39705021212
2022-04-28,50291.500000,51519.101563,50063.988281,50923.546875,50923.546875,43407862696
2022-04-29,50916.871094,50916.777344,49170.136719,49658.988281,49658.988281,39720935643
2022-04-30,49653.890625,49866.562500,48486.152344,48507.929688,48507.929688,30734069608
2022-05-01,48505.859375,49610.722656,48341.898438,49454.250000,49454.250000,34713614281
2022-05-02,49458.226563,50288.707031,49260.121094,49593.023438,49593.023438,42376379198
2022-05-03,49591.457031,49652.601563,48249.902344,48447.496094,48447.496094,35070360536
2022-05-04,48444.363281,50965.765625,48403.101563,50569.691406,50569.691406,46819524651
2022-05-05,50566.347656,50635.085938,46073.042969,46918.773438,46918.773438,55296921135
2022-05-06,46916.261719,47001.324219,45712.839844,46523.425781,46523.425781,48788421202
2022-05-07,46525.464844,46638.312500,45103.363281,45827.699219,45827.699219,31465625876
2022-05-08,45828.968750,45828.968750,43630.347656,44005.183594,44005.183594,47498511883
2022-05-09,44006.152344,44286.273438,39419.003906,39419.003906,39419.003906,82431074228
2022-05-10,39388.687500,42375.332031,38989.539063,40430.382813,40430.382813,77948317661
2022-05-11,40421.625000,41524.007813,36591.816406,37604.007813,37604.007813,91473274467
2022-05-12,37604.500000,39000.093750,34336.507813,37837.367188,37837.367188,87259561191
2022-05-13,37815.429688,40008.191406,37484.320313,37796.140625,37796.140625,55295682057
2022-05-14,37799.417969,38970.304688,37047.277344,38852.156250,38852.156250,36888465126
2022-05-15,38848.695313,40405.257813,38111.898438,40401.281250,40401.281250,33342226949
2022-05-16,40400.328125,40401.578125,37687.835938,38374.328125,38374.328125,41909379835
